date,morning_status
2025-12-01,Present
2025-12-02,Present
2025-12-03,Present
2025-12-04,Present
2025-12-05,Present
2025-12-06,Present
2025-12-07,Present
2025-12-08,Present
2025-12-09,Absent
2025-12-10,Present
2025-12-11,Present
2025-12-12,Present
2025-12-13,Present
2025-12-14,Present
2025-12-15,Present
2025-12-16,Present
2025-12-17,Present
2025-12-18,Present
2025-12-19,Present
2025-12-20,Present
2025-12-21,Present
2025-12-22,Present
2025-12-23,Present
2025-12-24,Present
2025-12-25,Present
2025-12-26,Present
2025-12-27,Present
2025-12-29,Absent
2025-12-30,Absent
2025-12-31,Absent
