date,morning_status,evening_status
2025-12-01,Present,Present
2025-12-02,Present,Present
2025-12-03,Present,Present
2025-12-04,Present,Present
2025-12-05,Present,Present
2025-12-06,Present,Present
2025-12-07,Present,Absent
2025-12-08,Present,Present
2025-12-09,Present,Present
2025-12-10,Present,Present
2025-12-11,Present,Present
2025-12-12,Present,Present
2025-12-13,Present,Present
2025-12-14,Present,Present
2025-12-15,Absent,Absent
2025-12-16,Present,Present
2025-12-17,Present,Present
2025-12-18,Present,Present
